code,name_ko,category
Fighter,격투가,MELEE
Knight,기사,MELEE
Swordman,검사,MELEE
Berserker,광전사,MELEE
MagicKnight,마검사,MELEE
ShieldBearer,방패병,MELEE
Lancer,창술사,MELEE
DuelBlader,듀얼 블레이더,MELEE
Ogre,오우거,MELEE
Jiangshi,강시,MELEE
Archer,궁수,RANGER
Sniper,소총수,RANGER
BoomerangHunter,부메랑 헌터,RANGER
PoisonDartHunter,독침술사,RANGER
Gambler,도박사,RANGER
Gunner,총잡이,RANGER
Dancer,무희,RANGER
Pyromancer,화염술사,MAGICIAN
IceMage,얼음술사,MAGICIAN
LightningMage,번개술사,MAGICIAN
Necromancer,네크로맨서,MAGICIAN
Illusionist,환영술사,MAGICIAN
Shadowmancer,그림자술사,MAGICIAN
DarkMage,흑마술사,MAGICIAN
Monk,몽크,PRIEST
Priest,성직자,PRIEST
Pythoness,무녀,PRIEST
PlagueDoctor,역병의사,PRIEST
BarrierMagician,결계사,PRIEST
Bard,음유시인,PRIEST
Chef,요리사,PRIEST
Exorcist,엑소시스트,PRIEST
Taoist,도사,PRIEST
Ninja,닌자,ASSASSIN
Ghost,유령,ASSASSIN
Demon,악마,ASSASSIN
Vampire,흡혈귀,ASSASSIN
Executioner,처형인,ASSASSIN
Clown,광대,ASSASSIN
Werewolf,늑대인간,ASSASSIN
